LP,NOM_CONTACT,PRENOM_CONTACT,GENDER,IBAN,EMAIL,BIRTH_DATE
BEELONG FAMILY OFFICE,Thomas,Isabelle,Female,FR6122989033601016737107566,isabelle.thomas@beelongfamilyoffice.com,1928-08-24
HEREST,Lefort,Théodore,Female,FR8507224899982665794293985,théodore.lefort@herest.com,1941-04-17
SAGIS ASSET MANAGEMENT,Étienne,Marianne,Female,FR3706932306055886389349957,marianne.étienne@sagisassetmanagement.com,1931-02-25
OFFICIUM ASSET MANAGEMENT,Verdier,Constance,Female,FR6088955625756535227499367,constance.verdier@officiumassetmanagement.com,1926-01-22
INKIPIT FINANCE,Lemaître,Inès,Female,FR0488931486679403247802714,inès.lemaître@inkipitfinance.com,1945-02-05
PULSE,Blanc,Marcel,Male,FR8502187708018216738818567,marcel.blanc@pulse.com,1971-04-16
G CONSULT FINANCES,Chauveau,Lucas,Male,FR4293599272231974118311497,lucas.chauveau@gconsultfinances.com,1958-08-31
MARQUIS FAMILY OFFICE,Maréchal,Jacques,Male,FR7529332010211232984255954,jacques.maréchal@marquisfamilyoffice.com,1969-03-08
MY FAMILY OFFICER,Brunet,Daniel,Female,FR4617477950888978554110726,daniel.brunet@myfamilyofficer.com,1973-03-25
NEOWISE,Gilles,Christine,Male,FR7233642211314677462813607,christine.gilles@neowise.com,1937-07-14
PEMBROKE FAMILY OFFICE,Valette,Élodie,Male,FR3060258728354403502423315,élodie.valette@pembrokefamilyoffice.com,1951-07-25
VAULT,Lemaître,Michelle,Female,FR2063143672213943534331094,michelle.lemaître@vault.com,1923-02-22
VIGIFINANCE,Mary,Marcelle,Male,FR8033857536125873219299782,marcelle.mary@vigifinance.com,1934-08-16
ANTIUM FRANCE,Schmitt,Roland,Female,FR7332470214242038687173526,roland.schmitt@antiumfrance.com,1958-09-04
COHAESIA FAMILY OFFICE,Lagarde,Jacques,Female,FR3718350686294337316701578,jacques.lagarde@cohaesiafamilyoffice.com,1943-07-28
EUKRATOS,Gilbert,Diane,Female,FR7578655229180589230810794,diane.gilbert@eukratos.com,1939-11-12
FAIR-E,Delattre,David,Male,FR1317882867259062426489701,david.delattre@fair-e.com,1932-10-07
FAMILIANCE,Guyon,Arnaude,Male,FR9429086424810513067302913,arnaude.guyon@familiance.com,1966-05-28
FAMILITY,Rivière,Jacqueline,Male,FR0482521742981907751020017,jacqueline.rivière@famility.com,1973-10-03
LA FONTAINE FAMILY OFFICE,Courtois,Laure,Male,FR2882723088256333432113943,laure.courtois@lafontainefamilyoffice.com,1960-09-05
LEVY CAPITAL,Legros,Susan,Male,FR9136145430613190568783477,susan.legros@levycapital.com,1930-02-20
GROUPAMA,Gomez,Pénélope,Male,FR1565550999418303828240648,pénélope.gomez@groupama.com,1974-03-09
La Banque Postale,Rémy,Daniel,Female,FR1817048261089008709227239,daniel.rémy@labanquepostale.com,1929-05-09
MACIF,Joseph,Anaïs,Female,FR3429972474936314198086928,anaïs.joseph@macif.com,1964-06-29
Cheval Blanc Patrimoine,Fleury,Chantal,Male,FR1542252103422681003311969,chantal.fleury@chevalblancpatrimoine.com,1953-11-22
Agami Family Office,Pruvost,Nath,Male,FR8311911195167555073437048,nath.pruvost@agamifamilyoffice.com,1931-09-01
Aglaé Ventures,Delattre,Luce,Female,FR8978342333800272070139787,luce.delattre@aglaéventures.com,1967-10-02
BM Family Office,Gauthier,Julien,Female,FR6959949334174863210506821,julien.gauthier@bmfamilyoffice.com,1970-05-15
Jaïna Capital,Philippe,Thibaut,Female,FR3187714385324162654624394,thibaut.philippe@jaïnacapital.com,1934-08-29
Kima Ventures,Pichon,Édouard,Female,FR3161533918476864955361163,édouard.pichon@kimaventures.com,1965-07-24
La Financière Saint James,Gosselin,Geneviève,Female,FR4403673209790055227654966,geneviève.gosselin@lafinancièresaintjames.com,1930-10-30
MJ & Cie,Louis,Alice,Male,FR5775192757348159709958387,alice.louis@mjcie.com,1955-12-10
Otium Capital,Delmas,Daniel,Female,FR8741095921368174444980641,daniel.delmas@otiumcapital.com,1945-11-05
Sycomore Family Office,Dupont,Jérôme,Male,FR5645716146322065157130456,jérôme.dupont@sycomorefamilyoffice.com,1952-08-28
ZTP,Chauvet,Frédéric,Male,FR9488572254509644613933625,frédéric.chauvet@ztp.com,1927-03-28
CHEVAL BLANC PATRIMOINE,Buisson,Nath,Female,FR5714198235710994013373592,nath.buisson@chevalblancpatrimoine.com,1934-09-09
Artémis,Morel,Nicole,Female,FR9849947141664802628093572,nicole.morel@artémis.com,1936-10-14
Evolem,Jacquot,Clémence,Male,FR4094882449574115486837521,clémence.jacquot@evolem.com,1951-02-14
SGPA,Boutin,David,Female,FR6745429481442631802701795,david.boutin@sgpa.com,1949-02-28
MARTEL EXPERTISES,Gomez,Joseph,Male,FR1174644303628679098098233,joseph.gomez@martelexpertises.com,1948-04-24
FOBS,Lemaire,Corinne,Male,FR4960957523264797995782728,corinne.lemaire@fobs.com,1933-03-30
LEONE KAPITAL,Leroux,Aurore,Female,FR0429738065373839438747924,aurore.leroux@leonekapital.com,1962-06-21
DOXANS,Guichard,Agathe,Female,FR8583185260659585466591688,agathe.guichard@doxans.com,1924-01-13
FAMILLE & VALEURS,Duhamel,Christophe,Female,FR6859965384829349832538415,christophe.duhamel@famillevaleurs.com,1937-09-11
FINANCIÈRE DIOCLÈS,Laurent,Victor,Female,FR4711223121847080497154800,victor.laurent@financièredioclès.com,1972-09-18
AXA,Evrard,Tristan,Female,FR5021360292506363243186561,tristan.evrard@axa.com,1957-10-22
AG2R,Perrin,Odette,Female,FR3027916124636160730050367,odette.perrin@ag2r.com,1930-11-19
HSBC Private Wealth Solutions,Giraud,Gilbert,Female,FR8212008211004748215452142,gilbert.giraud@hsbcprivatewealthsolutions.com,1970-08-07
Creadev,Thibault,Alexandria,Male,FR2453498677512394717189944,alexandria.thibault@creadev.com,1923-05-13
